焼きおにぎり,1285,1285,7265,名詞,一般,*,*,*,*,焼きおにぎり,ヤキオニギリ,ヤキオニギリ
社会保障,1285,1285,7265,名詞,一般,*,*,*,*,焼きおにぎり,ヤキオニギリ,ヤキオニギリ
社会保障費,1,1,2000,名詞,固有名詞,一般,*,*,*,社会保障費,シャカイホショウヒ,シャカイホショウヒ
社会保障,1,1,2000,名詞,固有名詞,一般,*,*,*,社会保障,シャカイホショウ,シャカイホショウ
参院選,1288,1288,4143,名詞,固有名詞,一般,*,*,*,参院選,サンインセン,サンインセン
れいわ,1288,1288,4143,名詞,固有名詞,一般,*,*,*,れいわ,レイワ,レイワ
選挙区,1288,1288,4143,名詞,固有名詞,一般,*,*,*,選挙区,センキョク,センキョク
衆院選,1288,1288,4143,名詞,固有名詞,一般,*,*,*,衆院選,シュウインセン,シュウインセン
国民民主,1288,1288,4143,名詞,固有名詞,一般,*,*,*,国民民主,コクミンミンシュ,コクミンミンシュ
立憲民主,1288,1288,4143,名詞,固有名詞,一般,*,*,*,立憲民主,リッケンミンシュ,リッケンミンシュ
立民,1288,1288,4143,名詞,固有名詞,一般,*,*,*,立民,リツミン,リツミン
ファーストの会,1288,1288,4143,名詞,固有名詞,一般,*,*,*,ファーストの会,ファーストノカイ,ファーストノカイ
NHK党,1288,1288,4143,名詞,固有名詞,一般,*,*,*,NHK党,エヌエイチケイトウ,エヌエイチケイトウ
Ｎ H Ｋ党,1288,1288,4143,名詞,固有名詞,一般,*,*,*,Ｎ H Ｋ党,エヌエイチケイトウ,エヌエイチケイトウ
N国,1288,1288,4143,名詞,固有名詞,一般,*,*,*,N国,エヌコク,エヌコク
Ｎ党,1288,1288,4143,名詞,固有名詞,一般,*,*,*,N党,エヌトウ,エヌトウ
N党,1288,1288,4143,名詞,固有名詞,一般,*,*,*,N党,エヌトウ,エヌトウ
Ｎ国,1288,1288,4143,名詞,固有名詞,一般,*,*,*,Ｎ国,エヌコク,エヌコク
参政党,1288,1288,4143,名詞,固有名詞,一般,*,*,*,参政党,サンセイトウ,サンセイトウ
消費税,1288,1288,4143,名詞,固有名詞,一般,*,*,*,消費税,ショウヒゼイ,ショウヒゼイ
消費者,1288,1288,4143,名詞,固有名詞,一般,*,*,*,消費者,ショウヒシャ,ショウヒシャ
再稼働,1288,1288,4143,名詞,固有名詞,一般,*,*,*,再稼働,サイカドウ,サイカドウ
社会保障,1288,1288,4143,名詞,固有名詞,一般,*,*,*,社会保障,シャカイホショウ,シャカイホショウ
総理大臣,1288,1288,4143,名詞,固有名詞,一般,*,*,*,総理大臣,ソウリダイジン,ソウリダイジン
山本太郎,1288,1288,4143,名詞,固有名詞,一般,*,*,*,山本太郎,ヤマモトタロウ,ヤマモトタロウ
朝日健太郎,1288,1288,4143,名詞,固有名詞,一般,*,*,*,朝日健太郎,アサヒケンタロウ,アサヒケンタロウ
安全保障,1288,1288,4143,名詞,固有名詞,一般,*,*,*,安全保障,アンゼンホショウ,アンゼンホショウ
教育無償化,1288,1288,4143,名詞,固有名詞,一般,*,*,*,教育無償化,キョウイクムショウカ,キョウイクムショウカ
経済安全保障,1288,1288,4143,名詞,固有名詞,一般,*,*,*,経済安全保障,ケイザイアンゼンホショウ,ケイザイアンゼンホショウ
経済安保,1288,1288,4143,名詞,固有名詞,一般,*,*,*,経済安保,ケイザイアンポ,ケイザイアンポ
熱中症,1288,1288,4143,名詞,固有名詞,一般,*,*,*,熱中症,ネッチュウショウ,ネッチュウショウ
政権交代,1288,1288,4143,名詞,固有名詞,一般,*,*,*,政権交代,セイケンコウタイ,セイケンコウタイ
何度,1288,1288,4143,名詞,固有名詞,一般,*,*,*,何度,ナンド,ナンド
投票率,1288,1288,4143,名詞,固有名詞,一般,*,*,*,投票率,トウヒョウリツ,トウヒョウリツ
期日前,1288,1288,4143,名詞,固有名詞,一般,*,*,*,期日前,キジツマエ,キジツマエ
消去法,1288,1288,4143,名詞,固有名詞,一般,*,*,*,消去法,ショウキョホウ,ショウキョホウ
円安,1288,1288,4143,名詞,固有名詞,一般,*,*,*,円安,エンヤス,エンヤス
円高,1288,1288,4143,名詞,固有名詞,一般,*,*,*,円高,エンダカ,エンダカ
政見放送,1288,1288,4143,名詞,固有名詞,一般,*,*,*,政見放送,セイケンホウソウ,セイケンホウソウ
可能性,1288,1288,4143,名詞,固有名詞,一般,*,*,*,可能性,カノウセイ,カノウセイ
感染症,1288,1288,4143,名詞,固有名詞,一般,*,*,*,感染症,カンセンショウ,カンセンショウ
政治家,1288,1288,4143,名詞,固有名詞,一般,*,*,*,政治家,セイジカ,セイジカ
国会議員,1288,1288,4143,名詞,固有名詞,一般,*,*,*,国会議員,コッカイギイン,コッカイギイン
社会保険,1288,1288,4143,名詞,固有名詞,一般,*,*,*,社会保険,シャカイホケン,シャカイホケン